ID_Number_Seal,Production_Order,SAP_NO,MLFB,PRODUCT_TYPE,OPENING_TIME_NOM,CLOSING_TIME_NOM,BREAKER_LIFE_TYPE_ID,CREATE_DATE
000491211017008,000150254640,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-17 00:00:00.000
000491211017009,000150254640,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-17 00:00:00.000
000491211017010,000150260179,75093945,3WL11162CB321AA2,3WL1,0.00,0.00,L001,2001-10-17 00:00:00.000
000491211017011,000150260166,75093947,3WL11122CB321AA2,3WL1,0.00,0.00,L001,2001-10-17 00:00:00.000
000491211017012,000150260166,75093947,3WL11122CB321AA2,3WL1,0.00,0.00,L001,2001-10-17 00:00:00.000
000491211017013,000150260178,75093945,3WL11122CB321AA2,3WL1,0.00,0.00,L001,2001-10-17 00:00:00.000
000491211017014,000150260178,75093945,3WL11122CB321AA2,3WL1,0.00,0.00,L001,2001-10-17 00:00:00.000
000491211017015,000150260178,75093945,3WL11122CB321AA2,3WL1,0.00,0.00,L001,2001-10-17 00:00:00.000
000491211017016,000150260178,75093945,3WL11122CB321AA2,3WL1,0.00,0.00,L001,2001-10-17 00:00:00.000
000491211017017,000150258226,75092999,3WL12202AA421AA2ZA20,3WL1,0.00,0.00,L007,2001-10-17 00:00:00.000
000491211017018,000150260178,75093945,3WL11122CB321AA2,3WL1,0.00,0.00,L001,2001-10-17 00:00:00.000
000491211018000,000150260176,75093945,3WL11082CB321AA2,3WL1,0.00,0.00,L001,2001-10-18 00:00:00.000
000491211018001,000150260176,75093945,3WL11082CB321AA2,3WL1,0.00,0.00,L001,2001-10-18 00:00:00.000
000491211018002,111011018000,9999999999,3WL13634DG454GA2,3WL1,93.32,62.84,L011,2001-10-18 00:00:00.000
000491211018003,000150260175,75093945,3WL11062CB321AA2,3WL1,0.00,0.00,L001,2001-10-18 00:00:00.000
000491211018004,000150254640,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-18 00:00:00.000
000491211018005,000150254640,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-18 00:00:00.000
000491211018006,000150254640,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-18 00:00:00.000
000491211018007,000150254644,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-18 00:00:00.000
000491211018008,000150254644,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-18 00:00:00.000
000491211018009,000150254644,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-18 00:00:00.000
000491211018010,000150254644,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-18 00:00:00.000
000491211018011,000150254644,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-18 00:00:00.000
000491211018012,111011018001,9999999999,3WL13504DG454GA2,3WL1,97.52,55.48,L011,2001-10-18 00:00:00.000
000491211018013,000150257379,75092693,3WL12124CB364GA4,3WL1,75.97,54.36,L007,2001-10-18 00:00:00.000
000491211018014,000150257379,75092693,3WL12124CB364GA4,3WL1,79.38,50.72,L007,2001-10-18 00:00:00.000
000491211018015,000150257379,75092693,3WL12124CB364GA4,3WL1,78.82,53.28,L007,2001-10-18 00:00:00.000
000491211018016,111011018005,2222222222,3WL13634DG464GA2,3WL1,97.05,59.04,L011,2001-10-18 00:00:00.000
000491211019000,000150261708,75094243,3WL11102AA344GA4,3WL1,72.05,46.68,L001,2001-10-19 00:00:00.000
000491211019001,000150261708,75094243,3WL11102AA344GA4,3WL1,73.48,53.36,L001,2001-10-19 00:00:00.000
000491211019002,111011019000,123456789,3WL13634DG454GA2,3WL1,97.38,57.84,L011,2001-10-19 00:00:00.000
000491211019003,000150261713,75094551,3WL12163CB361EA2ZC22K07M03M24,3WL1,73.43,48.36,L007,2001-10-19 00:00:00.000
